period,community_id,community_name,collection_family,opening_count,added,withdrawn,transferred_in,transferred_out,closing_count,quality_note
2025-11,INDI,Indigo Point,community_kits,0,73,0,13,0,86,
2025-12,ASTR,Aster Hollow,adult_print,11682,149,70,16,0,11777,
2025-12,ASTR,Aster Hollow,youth_print,7323,17,89,0,17,7234,
2025-12,ASTR,Aster Hollow,audio_video,3205,9,39,0,0,3175,
2025-12,ASTR,Aster Hollow,community_kits,401,3,4,0,0,400,
2025-12,BRYK,Bryn Creek,adult_print,17374,117,187,0,0,17304,
2025-12,BRYK,Bryn Creek,youth_print,10411,66,9,0,0,10468,
2025-12,BRYK,Bryn Creek,audio_video,4052,19,2,0,0,4069,
2025-12,BRYK,Bryn Creek,community_kits,660,0,3,0,0,657,
2025-12,CIRR,Cirrus Landing,adult_print,12793,141,45,0,0,12889,
2025-12,CIRR,Cirrus Landing,youth_print,9529,92,65,11,0,9567,
2025-12,CIRR,Cirrus Landing,audio_video,3764,30,30,0,0,3764,
2025-12,CIRR,Cirrus Landing,community_kits,520,4,6,0,0,518,
2025-12,DRFT,Driftwood Vale,adult_print,19438,263,161,0,0,19540,
2025-12,DRFT,Driftwood Vale,youth_print,13376,143,26,0,0,13493,
2025-12,DRFT,Driftwood Vale,audio_video,4885,18,58,0,15,4830,
2025-12,DRFT,Driftwood Vale,community_kits,746,9,8,0,0,747,
2025-12,ECHO,Echo Meadow,adult_print,11407,126,3,0,2,11528,
2025-12,ECHO,Echo Meadow,youth_print,7213,81,3,0,0,7291,
2025-12,ECHO,Echo Meadow,audio_video,3097,4,35,0,13,3053,
2025-12,ECHO,Echo Meadow,community_kits,423,1,0,6,0,430,
2025-12,FERN,Fernhaven,adult_print,16817,8,206,0,0,16619,
2025-12,FERN,Fernhaven,youth_print,10248,62,15,17,0,10312,
2025-12,FERN,Fernhaven,audio_video,4330,39,6,13,0,4376,
2025-12,FERN,Fernhaven,community_kits,528,5,0,0,18,515,
2025-12,GOLD,Goldleaf Quay,adult_print,17529,124,175,0,16,17462,
2025-12,GOLD,Goldleaf Quay,youth_print,12013,152,147,0,11,12007,
2025-12,GOLD,Goldleaf Quay,audio_video,5033,48,13,0,0,5068,
2025-12,GOLD,Goldleaf Quay,community_kits,675,9,8,0,0,676,
2025-12,HUSH,Hush River,adult_print,13431,44,27,0,0,13448,
2025-12,HUSH,Hush River,youth_print,8183,109,82,0,0,8210,
2025-12,HUSH,Hush River,audio_video,3159,24,16,0,0,3167,
2025-12,HUSH,Hush River,community_kits,465,6,2,12,0,481,
2025-12,INDI,Indigo Point,adult_print,14751,84,144,2,0,14693,
2025-12,INDI,Indigo Point,youth_print,9465,102,109,0,0,9458,
2025-12,INDI,Indigo Point,audio_video,3904,8,20,15,0,3907,
2025-12,INDI,Indigo Point,community_kits,86,0,2,0,0,84,
2026-01,ASTR,Aster Hollow,adult_print,11777,305,95,2,0,11989,
2026-01,ASTR,Aster Hollow,youth_print,7234,45,36,0,15,7228,
2026-01,ASTR,Aster Hollow,audio_video,3175,43,34,0,0,3184,
2026-01,ASTR,Aster Hollow,community_kits,400,3,3,0,8,392,
2026-01,BRYK,Bryn Creek,adult_print,17304,28,28,0,0,17304,
2026-01,BRYK,Bryn Creek,youth_print,10468,70,36,15,0,10517,
2026-01,BRYK,Bryn Creek,audio_video,4069,40,35,0,0,4074,
2026-01,BRYK,Bryn Creek,community_kits,657,4,7,0,0,654,
2026-01,CIRR,Cirrus Landing,adult_print,12889,78,24,14,0,12957,
2026-01,CIRR,Cirrus Landing,youth_print,9567,114,38,4,0,9647,
2026-01,CIRR,Cirrus Landing,audio_video,3764,46,20,0,0,3790,
2026-01,CIRR,Cirrus Landing,community_kits,518,3,3,8,0,526,
2026-01,DRFT,Driftwood Vale,adult_print,19540,218,95,0,0,19663,
2026-01,DRFT,Driftwood Vale,youth_print,13493,81,85,0,0,13489,
2026-01,DRFT,Driftwood Vale,audio_video,4830,34,59,0,0,4805,
2026-01,DRFT,Driftwood Vale,community_kits,747,2,8,0,8,733,
2026-01,ECHO,Echo Meadow,adult_print,11528,87,42,0,0,11573,
2026-01,ECHO,Echo Meadow,youth_print,7291,45,19,0,0,7317,
2026-01,ECHO,Echo Meadow,audio_video,3053,34,38,12,0,3061,
2026-01,ECHO,Echo Meadow,community_kits,430,0,3,0,0,427,
2026-01,FERN,Fernhaven,adult_print,16619,152,190,0,0,16581,
2026-01,FERN,Fernhaven,youth_print,10312,13,102,0,0,10223,
2026-01,FERN,Fernhaven,audio_video,4376,2,49,0,0,4329,
2026-01,FERN,Fernhaven,community_kits,515,7,7,8,0,523,
2026-01,GOLD,Goldleaf Quay,adult_print,17462,141,13,0,14,17576,
2026-01,GOLD,Goldleaf Quay,youth_print,12007,143,79,0,4,12067,
2026-01,GOLD,Goldleaf Quay,audio_video,5068,34,41,0,12,5049,
2026-01,GOLD,Goldleaf Quay,community_kits,676,7,7,0,0,676,
2026-01,HUSH,Hush River,adult_print,13448,125,129,0,2,13442,
2026-01,HUSH,Hush River,youth_print,8210,100,97,0,0,8213,
2026-01,HUSH,Hush River,audio_video,3167,26,37,0,4,3152,
2026-01,HUSH,Hush River,community_kits,481,0,0,0,0,481,
2026-01,INDI,Indigo Point,adult_print,14693,29,73,0,0,14649,
2026-01,INDI,Indigo Point,youth_print,9458,56,8,0,0,9506,
2026-01,INDI,Indigo Point,audio_video,3907,3,50,4,0,3864,
2026-01,INDI,Indigo Point,community_kits,84,2,2,0,0,84,
2026-02,ASTR,Aster Hollow,adult_print,11989,31,127,0,0,11893,
2026-02,ASTR,Aster Hollow,youth_print,7228,6,83,0,7,7144,
2026-02,ASTR,Aster Hollow,audio_video,3184,13,19,0,0,3178,
2026-02,ASTR,Aster Hollow,community_kits,392,2,4,11,0,401,
2026-02,BRYK,Bryn Creek,adult_print,17304,47,33,0,16,17302,
2026-02,BRYK,Bryn Creek,youth_print,10517,118,32,0,12,10591,
2026-02,BRYK,Bryn Creek,audio_video,4074,43,5,0,8,4104,
2026-02,BRYK,Bryn Creek,community_kits,654,8,6,0,11,645,
2026-02,CIRR,Cirrus Landing,adult_print,12957,54,100,0,0,12911,
2026-02,CIRR,Cirrus Landing,youth_print,9647,81,14,0,0,9714,
2026-02,CIRR,Cirrus Landing,audio_video,3790,37,,0,0,3810,withdrawal_log_unavailable
2026-02,CIRR,Cirrus Landing,community_kits,526,3,5,0,0,524,
2026-02,DRFT,Driftwood Vale,adult_print,19663,54,179,0,0,19538,
2026-02,DRFT,Driftwood Vale,youth_print,13489,178,13,12,0,13666,
2026-02,DRFT,Driftwood Vale,audio_video,4805,64,37,0,0,4832,
2026-02,DRFT,Driftwood Vale,community_kits,733,3,9,0,0,727,
2026-02,ECHO,Echo Meadow,adult_print,11573,75,45,0,0,11603,
2026-02,ECHO,Echo Meadow,youth_print,7317,28,69,7,0,7283,
2026-02,ECHO,Echo Meadow,audio_video,3061,3,34,0,0,3030,
2026-02,ECHO,Echo Meadow,community_kits,427,6,4,0,0,429,
2026-02,FERN,Fernhaven,adult_print,16581,96,76,32,0,16633,
2026-02,FERN,Fernhaven,youth_print,10223,104,53,0,0,10274,
2026-02,FERN,Fernhaven,audio_video,4329,33,0,0,15,4347,
2026-02,FERN,Fernhaven,community_kits,523,1,4,10,0,530,
2026-02,GOLD,Goldleaf Quay,adult_print,17576,125,65,0,16,17620,
2026-02,GOLD,Goldleaf Quay,youth_print,12067,28,105,0,0,11990,
2026-02,GOLD,Goldleaf Quay,audio_video,5049,21,63,8,0,5015,
2026-02,GOLD,Goldleaf Quay,community_kits,676,9,0,0,10,675,
2026-02,HUSH,Hush River,adult_print,13442,20,30,0,0,13432,
2026-02,HUSH,Hush River,youth_print,8213,53,22,0,0,8244,
2026-02,HUSH,Hush River,audio_video,3152,32,41,15,0,3158,
2026-02,HUSH,Hush River,community_kits,481,4,0,0,0,485,
2026-02,INDI,Indigo Point,adult_print,14649,4,190,0,0,14463,
2026-02,INDI,Indigo Point,youth_print,9506,29,84,0,0,9451,
2026-02,INDI,Indigo Point,audio_video,3864,35,18,0,0,3881,
2026-02,INDI,Indigo Point,community_kits,84,0,3,0,0,81,
2026-03,ASTR,Aster Hollow,adult_print,11893,8,116,0,0,11785,
2026-03,ASTR,Aster Hollow,youth_print,7144,22,62,8,0,7112,
2026-03,ASTR,Aster Hollow,audio_video,3178,44,41,0,12,3169,
2026-03,ASTR,Aster Hollow,community_kits,401,6,5,16,3,415,
2026-03,BRYK,Bryn Creek,adult_print,17302,44,64,12,0,17294,
2026-03,BRYK,Bryn Creek,youth_print,10591,12,103,0,7,10493,
2026-03,BRYK,Bryn Creek,audio_video,4104,28,50,0,3,4079,
2026-03,BRYK,Bryn Creek,community_kits,645,9,1,0,0,653,
2026-03,CIRR,Cirrus Landing,adult_print,12911,178,95,0,12,12982,
2026-03,CIRR,Cirrus Landing,youth_print,9714,0,78,0,0,9636,
2026-03,CIRR,Cirrus Landing,audio_video,3810,42,43,0,0,3809,
2026-03,CIRR,Cirrus Landing,community_kits,524,1,7,0,0,518,
2026-03,DRFT,Driftwood Vale,adult_print,19538,80,15,15,0,19618,
2026-03,DRFT,Driftwood Vale,youth_print,13666,4,163,0,0,13507,
2026-03,DRFT,Driftwood Vale,audio_video,4832,19,39,3,0,4815,
2026-03,DRFT,Driftwood Vale,community_kits,727,8,4,3,0,734,
2026-03,ECHO,Echo Meadow,adult_print,11603,107,70,0,0,11640,
2026-03,ECHO,Echo Meadow,youth_print,7283,16,76,0,0,7223,
2026-03,ECHO,Echo Meadow,audio_video,3030,4,33,0,0,3001,
2026-03,ECHO,Echo Meadow,community_kits,429,5,0,0,0,434,
2026-03,FERN,Fernhaven,adult_print,16633,207,113,0,0,16727,
2026-03,FERN,Fernhaven,youth_print,10274,23,107,7,0,10197,
2026-03,FERN,Fernhaven,audio_video,4347,24,0,0,0,4371,
2026-03,FERN,Fernhaven,community_kits,530,4,6,0,0,528,
2026-03,GOLD,Goldleaf Quay,adult_print,17620,120,6,0,15,17719,
2026-03,GOLD,Goldleaf Quay,youth_print,11990,0,44,0,0,11946,
2026-03,GOLD,Goldleaf Quay,audio_video,5015,7,30,12,0,5004,
2026-03,GOLD,Goldleaf Quay,community_kits,675,5,7,0,0,673,
2026-03,HUSH,Hush River,adult_print,13432,137,107,0,0,13462,
2026-03,HUSH,Hush River,youth_print,8244,60,18,0,8,8278,
2026-03,HUSH,Hush River,audio_video,3158,43,35,0,0,3166,
2026-03,HUSH,Hush River,community_kits,485,2,3,0,0,484,
2026-03,INDI,Indigo Point,adult_print,14463,112,31,0,0,14544,
2026-03,INDI,Indigo Point,youth_print,9451,65,43,0,0,9473,
2026-03,INDI,Indigo Point,audio_video,3881,48,16,0,0,3913,
2026-03,INDI,Indigo Point,community_kits,81,0,0,0,16,65,
2026-04,ASTR,Aster Hollow,adult_print,11785,163,22,0,0,11926,
2026-04,ASTR,Aster Hollow,youth_print,7112,72,7,0,0,7177,
2026-04,ASTR,Aster Hollow,audio_video,3169,32,10,0,8,3183,
2026-04,ASTR,Aster Hollow,community_kits,415,6,2,0,0,419,
2026-04,BRYK,Bryn Creek,adult_print,17294,95,222,0,0,17167,
2026-04,BRYK,Bryn Creek,youth_print,10493,29,80,0,0,10442,
2026-04,BRYK,Bryn Creek,audio_video,4079,44,10,0,0,4113,
2026-04,BRYK,Bryn Creek,community_kits,653,3,5,0,6,645,
2026-04,CIRR,Cirrus Landing,adult_print,12982,47,64,0,0,12965,
2026-04,CIRR,Cirrus Landing,youth_print,9636,66,118,0,0,9584,
2026-04,CIRR,Cirrus Landing,audio_video,3809,51,41,8,0,3827,
2026-04,CIRR,Cirrus Landing,community_kits,518,0,6,0,0,512,
2026-04,DRFT,Driftwood Vale,adult_print,19618,233,170,8,0,19689,
2026-04,DRFT,Driftwood Vale,youth_print,13507,29,96,0,0,13440,
2026-04,DRFT,Driftwood Vale,audio_video,4815,7,39,0,0,4783,
2026-04,DRFT,Driftwood Vale,community_kits,734,9,1,0,16,726,
2026-04,ECHO,Echo Meadow,adult_print,,,,,,,report_not_received
2026-04,ECHO,Echo Meadow,youth_print,,,,,,,report_not_received
2026-04,ECHO,Echo Meadow,audio_video,,,,,,,report_not_received
2026-04,ECHO,Echo Meadow,community_kits,,,,,,,report_not_received
2026-04,FERN,Fernhaven,adult_print,16727,150,202,0,0,16675,
2026-04,FERN,Fernhaven,youth_print,10197,14,3,18,0,10226,
2026-04,FERN,Fernhaven,audio_video,4371,12,10,0,0,4373,
2026-04,FERN,Fernhaven,community_kits,528,7,1,0,0,534,
2026-04,GOLD,Goldleaf Quay,adult_print,17719,14,26,2,0,17709,
2026-04,GOLD,Goldleaf Quay,youth_print,11946,30,15,0,8,11953,
2026-04,GOLD,Goldleaf Quay,audio_video,5004,6,33,0,0,4977,
2026-04,GOLD,Goldleaf Quay,community_kits,673,2,5,6,0,676,
2026-04,HUSH,Hush River,adult_print,13462,35,28,0,8,13461,
2026-04,HUSH,Hush River,youth_print,8278,100,40,0,0,8338,
2026-04,HUSH,Hush River,audio_video,3166,32,35,13,0,3176,
2026-04,HUSH,Hush River,community_kits,484,1,1,16,0,500,
2026-04,INDI,Indigo Point,adult_print,14544,156,162,0,0,14538,
2026-04,INDI,Indigo Point,youth_print,9473,59,69,0,10,9453,
2026-04,INDI,Indigo Point,audio_video,3913,30,6,0,0,3937,
2026-04,INDI,Indigo Point,community_kits,65,3,2,0,0,66,
2026-05,ASTR,Aster Hollow,adult_print,11926,166,108,0,0,11984,
2026-05,ASTR,Aster Hollow,youth_print,7177,85,64,0,0,7198,
2026-05,ASTR,Aster Hollow,audio_video,3183,17,11,12,6,3195,
2026-05,ASTR,Aster Hollow,community_kits,419,1,4,21,0,437,
2026-05,BRYK,Bryn Creek,adult_print,17167,148,33,0,0,17282,
2026-05,BRYK,Bryn Creek,youth_print,10442,132,74,0,0,10500,
2026-05,BRYK,Bryn Creek,audio_video,4113,49,38,6,0,4130,
2026-05,BRYK,Bryn Creek,community_kits,645,6,6,0,0,645,
2026-05,CIRR,Cirrus Landing,adult_print,12965,52,104,0,13,12900,
2026-05,CIRR,Cirrus Landing,youth_print,9584,58,98,0,0,9544,
2026-05,CIRR,Cirrus Landing,audio_video,3827,47,9,0,0,3865,
2026-05,CIRR,Cirrus Landing,community_kits,512,5,5,0,0,512,
2026-05,DRFT,Driftwood Vale,adult_print,19689,202,213,9,0,19687,
2026-05,DRFT,Driftwood Vale,youth_print,13440,31,140,0,0,13331,
2026-05,DRFT,Driftwood Vale,audio_video,4783,65,4,0,0,4844,
2026-05,DRFT,Driftwood Vale,community_kits,726,5,0,0,0,731,
2026-05,ECHO,Echo Meadow,adult_print,11786,65,13,0,9,11829,
2026-05,ECHO,Echo Meadow,youth_print,7207,43,63,0,10,7177,
2026-05,ECHO,Echo Meadow,audio_video,2957,2,36,0,12,2911,
2026-05,ECHO,Echo Meadow,community_kits,435,3,2,0,16,420,
2026-05,FERN,Fernhaven,adult_print,16675,95,131,0,0,16639,
2026-05,FERN,Fernhaven,youth_print,10226,135,34,10,0,10337,
2026-05,FERN,Fernhaven,audio_video,4373,41,55,0,0,4359,
2026-05,FERN,Fernhaven,community_kits,534,2,7,0,5,524,
2026-05,GOLD,Goldleaf Quay,adult_print,17709,43,187,0,0,17565,
2026-05,GOLD,Goldleaf Quay,youth_print,11953,78,73,0,0,11958,
2026-05,GOLD,Goldleaf Quay,audio_video,4977,3,53,0,0,4927,
2026-05,GOLD,Goldleaf Quay,community_kits,676,1,1,0,0,676,
2026-05,HUSH,Hush River,adult_print,13461,28,108,0,0,13381,
2026-05,HUSH,Hush River,youth_print,8338,89,62,0,13,8352,
2026-05,HUSH,Hush River,audio_video,3176,2,16,0,0,3162,
2026-05,HUSH,Hush River,community_kits,500,4,6,0,0,498,
2026-05,INDI,Indigo Point,adult_print,14538,22,10,13,0,14563,
2026-05,INDI,Indigo Point,youth_print,9453,57,111,13,0,9412,
2026-05,INDI,Indigo Point,audio_video,3937,29,27,0,0,3939,
2026-05,INDI,Indigo Point,community_kits,66,0,3,0,0,63,
2026-06,ASTR,Aster Hollow,adult_print,11984,31,109,0,0,11906,
2026-06,ASTR,Aster Hollow,youth_print,7198,64,70,0,0,7192,
2026-06,ASTR,Aster Hollow,audio_video,3195,12,31,0,0,3176,
2026-06,ASTR,Aster Hollow,community_kits,437,5,4,11,0,449,
2026-06,BRYK,Bryn Creek,adult_print,17282,121,20,0,6,17377,
2026-06,BRYK,Bryn Creek,youth_print,10500,71,80,13,10,10494,
2026-06,BRYK,Bryn Creek,audio_video,4130,30,36,0,0,4124,
2026-06,BRYK,Bryn Creek,community_kits,645,9,1,0,0,653,
2026-06,CIRR,Cirrus Landing,adult_print,12900,5,116,11,0,12800,
2026-06,CIRR,Cirrus Landing,youth_print,9544,69,3,0,0,9610,
2026-06,CIRR,Cirrus Landing,audio_video,3865,33,37,0,12,3849,
2026-06,CIRR,Cirrus Landing,community_kits,512,3,6,0,0,509,
2026-06,DRFT,Driftwood Vale,adult_print,19687,271,7,0,11,19940,
2026-06,DRFT,Driftwood Vale,youth_print,13331,142,143,0,0,13330,
2026-06,DRFT,Driftwood Vale,audio_video,4844,33,52,0,11,4814,
2026-06,DRFT,Driftwood Vale,community_kits,731,5,7,0,21,708,
2026-06,ECHO,Echo Meadow,adult_print,11829,107,1,0,0,11935,
2026-06,ECHO,Echo Meadow,youth_print,7177,60,28,0,0,7209,
2026-06,ECHO,Echo Meadow,audio_video,2911,31,8,11,0,2945,
2026-06,ECHO,Echo Meadow,community_kits,420,2,5,0,0,417,
2026-06,FERN,Fernhaven,adult_print,16639,65,183,0,0,16521,
2026-06,FERN,Fernhaven,youth_print,10337,97,60,0,0,10374,
2026-06,FERN,Fernhaven,audio_video,4359,16,45,0,0,4330,
2026-06,FERN,Fernhaven,community_kits,524,0,7,10,0,527,
2026-06,GOLD,Goldleaf Quay,adult_print,17565,127,12,0,0,17680,
2026-06,GOLD,Goldleaf Quay,youth_print,11958,105,451,10,0,11622,
2026-06,GOLD,Goldleaf Quay,audio_video,4927,24,27,0,0,4924,
2026-06,GOLD,Goldleaf Quay,community_kits,676,7,7,0,0,676,
2026-06,HUSH,Hush River,adult_print,13381,38,112,0,0,13307,
2026-06,HUSH,Hush River,youth_print,8352,98,108,0,0,8342,
2026-06,HUSH,Hush River,audio_video,3162,5,5,0,0,3162,
2026-06,HUSH,Hush River,community_kits,498,0,5,0,0,493,
2026-06,INDI,Indigo Point,adult_print,14563,135,135,6,0,14569,
2026-06,INDI,Indigo Point,youth_print,9412,3,38,0,13,9364,
2026-06,INDI,Indigo Point,audio_video,3939,49,16,12,0,3984,
2026-06,INDI,Indigo Point,community_kits,63,0,0,0,0,63,
2026-07,ASTR,Aster Hollow,adult_print,11906,55,62,0,10,11889,
2026-07,ASTR,Aster Hollow,youth_print,7192,39,1,4,13,7221,
2026-07,ASTR,Aster Hollow,audio_video,3176,34,20,0,0,3190,
2026-07,ASTR,Aster Hollow,community_kits,449,4,5,0,9,439,
2026-07,BRYK,Bryn Creek,adult_print,17377,196,210,0,0,17363,
2026-07,BRYK,Bryn Creek,youth_print,10494,97,87,0,0,10504,
2026-07,BRYK,Bryn Creek,audio_video,4124,24,30,17,0,4135,
2026-07,BRYK,Bryn Creek,community_kits,653,0,3,0,0,650,
2026-07,CIRR,Cirrus Landing,adult_print,12800,108,130,0,0,12778,
2026-07,CIRR,Cirrus Landing,youth_print,9610,121,112,13,4,9628,
2026-07,CIRR,Cirrus Landing,audio_video,3849,36,42,0,0,3843,
2026-07,CIRR,Cirrus Landing,community_kits,509,3,5,0,0,507,
2026-07,DRFT,Driftwood Vale,adult_print,19940,190,209,0,0,19921,
2026-07,DRFT,Driftwood Vale,youth_print,13330,89,34,0,0,13385,
2026-07,DRFT,Driftwood Vale,audio_video,4814,60,45,0,0,4829,
2026-07,DRFT,Driftwood Vale,community_kits,708,9,7,19,0,729,
2026-07,ECHO,Echo Meadow,adult_print,11935,166,45,0,0,12056,
2026-07,ECHO,Echo Meadow,youth_print,7209,92,63,0,0,7238,
2026-07,ECHO,Echo Meadow,audio_video,2945,10,36,10,0,2929,
2026-07,ECHO,Echo Meadow,community_kits,417,1,3,0,0,415,
2026-07,FERN,Fernhaven,adult_print,16521,124,125,0,15,16505,
2026-07,FERN,Fernhaven,youth_print,10374,107,83,0,0,10398,
2026-07,FERN,Fernhaven,audio_video,4330,47,55,0,0,4322,
2026-07,FERN,Fernhaven,community_kits,527,6,6,0,0,527,
2026-07,GOLD,Goldleaf Quay,adult_print,17680,53,13,10,0,17730,
2026-07,GOLD,Goldleaf Quay,youth_print,11622,62,68,0,0,11616,
2026-07,GOLD,Goldleaf Quay,audio_video,4924,27,21,0,17,4913,
2026-07,GOLD,Goldleaf Quay,community_kits,676,0,5,0,0,671,
2026-07,HUSH,Hush River,adult_print,13307,147,0,15,0,13469,
2026-07,HUSH,Hush River,youth_print,8342,24,60,0,0,8306,
2026-07,HUSH,Hush River,audio_video,3162,23,33,0,10,3142,
2026-07,HUSH,Hush River,community_kits,493,4,2,0,10,485,
2026-07,INDI,Indigo Point,adult_print,14569,70,153,0,0,14486,
2026-07,INDI,Indigo Point,youth_print,9364,55,75,0,0,9344,
2026-07,INDI,Indigo Point,audio_video,3984,21,28,0,0,3977,
2026-07,INDI,Indigo Point,community_kits,63,3,0,0,0,66,
2026-08,ASTR,Aster Hollow,adult_print,11889,57,122,0,0,11824,
2026-08,ASTR,Aster Hollow,youth_print,7221,58,67,0,0,7212,
2026-08,ASTR,Aster Hollow,audio_video,3190,17,5,0,0,3202,
2026-08,ASTR,Aster Hollow,community_kits,439,2,6,0,17,418,
2026-08,BRYK,Bryn Creek,adult_print,17363,4,94,5,0,17278,
2026-08,BRYK,Bryn Creek,youth_print,10504,111,46,0,12,10557,
2026-08,BRYK,Bryn Creek,audio_video,4135,48,26,0,0,4157,
2026-08,BRYK,Bryn Creek,community_kits,650,5,7,2,0,650,
2026-08,CIRR,Cirrus Landing,adult_print,12778,74,142,0,0,12710,
2026-08,CIRR,Cirrus Landing,youth_print,9628,122,1,0,0,9749,
2026-08,CIRR,Cirrus Landing,audio_video,3843,52,5,0,0,3890,
2026-08,CIRR,Cirrus Landing,community_kits,507,7,4,0,0,510,
2026-08,DRFT,Driftwood Vale,adult_print,19921,36,236,0,6,19715,
