period_date,period,community_id,community_name,collection_family,opening_count,added,withdrawn,transferred_in,transferred_out,closing_count,expected_closing,reconciliation_delta,data_status,quality_note,is_latest
2025-10-01,2025-10,INDI,Indigo Point,community_kits,0,0,0,0,0,0,0,0,Complete,,FALSE
2025-11-01,2025-11,ASTR,Aster Hollow,adult_print,11677,149,144,0,0,11682,11682,0,Complete,,FALSE
2025-11-01,2025-11,ASTR,Aster Hollow,youth_print,7387,30,94,0,0,7323,7323,0,Complete,,FALSE
2025-11-01,2025-11,ASTR,Aster Hollow,audio_video,3207,2,4,0,0,3205,3205,0,Complete,,FALSE
2025-11-01,2025-11,ASTR,Aster Hollow,community_kits,400,5,4,0,0,401,401,0,Complete,,FALSE
2025-11-01,2025-11,BRYK,Bryn Creek,adult_print,17433,104,163,0,0,17374,17374,0,Complete,,FALSE
2025-11-01,2025-11,BRYK,Bryn Creek,youth_print,10379,56,24,0,0,10411,10411,0,Complete,,FALSE
2025-11-01,2025-11,BRYK,Bryn Creek,audio_video,4068,15,31,0,0,4052,4052,0,Complete,,FALSE
2025-11-01,2025-11,BRYK,Bryn Creek,community_kits,658,7,5,0,0,660,660,0,Complete,,FALSE
2025-11-01,2025-11,CIRR,Cirrus Landing,adult_print,12766,27,11,11,0,12793,12793,0,Complete,,FALSE
2025-11-01,2025-11,CIRR,Cirrus Landing,youth_print,9399,127,0,3,0,9529,9529,0,Complete,,FALSE
2025-11-01,2025-11,CIRR,Cirrus Landing,audio_video,3720,52,14,8,2,3764,3764,0,Complete,,FALSE
2025-11-01,2025-11,CIRR,Cirrus Landing,community_kits,522,1,3,0,0,520,520,0,Complete,,FALSE
2025-11-01,2025-11,DRFT,Driftwood Vale,adult_print,19523,34,119,0,0,19438,19438,0,Complete,,FALSE
2025-11-01,2025-11,DRFT,Driftwood Vale,youth_print,13348,102,74,0,0,13376,13376,0,Complete,,FALSE
2025-11-01,2025-11,DRFT,Driftwood Vale,audio_video,4918,21,54,0,0,4885,4885,0,Complete,,FALSE
2025-11-01,2025-11,DRFT,Driftwood Vale,community_kits,739,9,2,0,0,746,746,0,Complete,,FALSE
2025-11-01,2025-11,ECHO,Echo Meadow,adult_print,11373,145,111,0,0,11407,11407,0,Complete,,FALSE
2025-11-01,2025-11,ECHO,Echo Meadow,youth_print,7240,12,48,9,0,7213,7213,0,Complete,,FALSE
2025-11-01,2025-11,ECHO,Echo Meadow,audio_video,3087,42,34,2,0,3097,3097,0,Complete,,FALSE
2025-11-01,2025-11,ECHO,Echo Meadow,community_kits,405,5,4,17,0,423,423,0,Complete,,FALSE
2025-11-01,2025-11,FERN,Fernhaven,adult_print,16846,148,194,17,0,16817,16817,0,Complete,,FALSE
2025-11-01,2025-11,FERN,Fernhaven,youth_print,10272,48,63,0,9,10248,10248,0,Complete,,FALSE
2025-11-01,2025-11,FERN,Fernhaven,audio_video,4334,48,52,0,0,4330,4330,0,Complete,,FALSE
2025-11-01,2025-11,FERN,Fernhaven,community_kits,543,2,0,0,17,528,528,0,Complete,,FALSE
2025-11-01,2025-11,GOLD,Goldleaf Quay,adult_print,17516,118,88,0,17,17529,17529,0,Complete,,FALSE
2025-11-01,2025-11,GOLD,Goldleaf Quay,youth_print,12054,13,54,0,0,12013,12013,0,Complete,,FALSE
2025-11-01,2025-11,GOLD,Goldleaf Quay,audio_video,5024,56,47,0,0,5033,5033,0,Complete,,FALSE
2025-11-01,2025-11,GOLD,Goldleaf Quay,community_kits,688,0,0,0,13,675,675,0,Complete,,FALSE
2025-11-01,2025-11,HUSH,Hush River,adult_print,13357,164,90,0,0,13431,13431,0,Complete,,FALSE
2025-11-01,2025-11,HUSH,Hush River,youth_print,8095,100,12,0,0,8183,8183,0,Complete,,FALSE
2025-11-01,2025-11,HUSH,Hush River,audio_video,3128,33,2,0,0,3159,3159,0,Complete,,FALSE
2025-11-01,2025-11,HUSH,Hush River,community_kits,462,3,0,0,0,465,465,0,Complete,,FALSE
2025-11-01,2025-11,INDI,Indigo Point,adult_print,14676,104,18,0,11,14751,14751,0,Complete,,FALSE
2025-11-01,2025-11,INDI,Indigo Point,youth_print,9355,115,2,0,3,9465,9465,0,Complete,,FALSE
2025-11-01,2025-11,INDI,Indigo Point,audio_video,3867,47,2,0,8,3904,3904,0,Complete,,FALSE
2025-11-01,2025-11,INDI,Indigo Point,community_kits,0,73,0,13,0,86,86,0,Complete,,FALSE
2025-12-01,2025-12,ASTR,Aster Hollow,adult_print,11682,149,70,16,0,11777,11777,0,Complete,,FALSE
2025-12-01,2025-12,ASTR,Aster Hollow,youth_print,7323,17,89,0,17,7234,7234,0,Complete,,FALSE
2025-12-01,2025-12,ASTR,Aster Hollow,audio_video,3205,9,39,0,0,3175,3175,0,Complete,,FALSE
2025-12-01,2025-12,ASTR,Aster Hollow,community_kits,401,3,4,0,0,400,400,0,Complete,,FALSE
2025-12-01,2025-12,BRYK,Bryn Creek,adult_print,17374,117,187,0,0,17304,17304,0,Complete,,FALSE
2025-12-01,2025-12,BRYK,Bryn Creek,youth_print,10411,66,9,0,0,10468,10468,0,Complete,,FALSE
2025-12-01,2025-12,BRYK,Bryn Creek,audio_video,4052,19,2,0,0,4069,4069,0,Complete,,FALSE
2025-12-01,2025-12,BRYK,Bryn Creek,community_kits,660,0,3,0,0,657,657,0,Complete,,FALSE
2025-12-01,2025-12,CIRR,Cirrus Landing,adult_print,12793,141,45,0,0,12889,12889,0,Complete,,FALSE
2025-12-01,2025-12,CIRR,Cirrus Landing,youth_print,9529,92,65,11,0,9567,9567,0,Complete,,FALSE
2025-12-01,2025-12,CIRR,Cirrus Landing,audio_video,3764,30,30,0,0,3764,3764,0,Complete,,FALSE
2025-12-01,2025-12,CIRR,Cirrus Landing,community_kits,520,4,6,0,0,518,518,0,Complete,,FALSE
2025-12-01,2025-12,DRFT,Driftwood Vale,adult_print,19438,263,161,0,0,19540,19540,0,Complete,,FALSE
2025-12-01,2025-12,DRFT,Driftwood Vale,youth_print,13376,143,26,0,0,13493,13493,0,Complete,,FALSE
2025-12-01,2025-12,DRFT,Driftwood Vale,audio_video,4885,18,58,0,15,4830,4830,0,Complete,,FALSE
2025-12-01,2025-12,DRFT,Driftwood Vale,community_kits,746,9,8,0,0,747,747,0,Complete,,FALSE
2025-12-01,2025-12,ECHO,Echo Meadow,adult_print,11407,126,3,0,2,11528,11528,0,Complete,,FALSE
2025-12-01,2025-12,ECHO,Echo Meadow,youth_print,7213,81,3,0,0,7291,7291,0,Complete,,FALSE
2025-12-01,2025-12,ECHO,Echo Meadow,audio_video,3097,4,35,0,13,3053,3053,0,Complete,,FALSE
2025-12-01,2025-12,ECHO,Echo Meadow,community_kits,423,1,0,6,0,430,430,0,Complete,,FALSE
2025-12-01,2025-12,FERN,Fernhaven,adult_print,16817,8,206,0,0,16619,16619,0,Complete,,FALSE
2025-12-01,2025-12,FERN,Fernhaven,youth_print,10248,62,15,17,0,10312,10312,0,Complete,,FALSE
2025-12-01,2025-12,FERN,Fernhaven,audio_video,4330,39,6,13,0,4376,4376,0,Complete,,FALSE
2025-12-01,2025-12,FERN,Fernhaven,community_kits,528,5,0,0,18,515,515,0,Complete,,FALSE
2025-12-01,2025-12,GOLD,Goldleaf Quay,adult_print,17529,124,175,0,16,17462,17462,0,Complete,,FALSE
2025-12-01,2025-12,GOLD,Goldleaf Quay,youth_print,12013,152,147,0,11,12007,12007,0,Complete,,FALSE
2025-12-01,2025-12,GOLD,Goldleaf Quay,audio_video,5033,48,13,0,0,5068,5068,0,Complete,,FALSE
2025-12-01,2025-12,GOLD,Goldleaf Quay,community_kits,675,9,8,0,0,676,676,0,Complete,,FALSE
2025-12-01,2025-12,HUSH,Hush River,adult_print,13431,44,27,0,0,13448,13448,0,Complete,,FALSE
2025-12-01,2025-12,HUSH,Hush River,youth_print,8183,109,82,0,0,8210,8210,0,Complete,,FALSE
2025-12-01,2025-12,HUSH,Hush River,audio_video,3159,24,16,0,0,3167,3167,0,Complete,,FALSE
2025-12-01,2025-12,HUSH,Hush River,community_kits,465,6,2,12,0,481,481,0,Complete,,FALSE
2025-12-01,2025-12,INDI,Indigo Point,adult_print,14751,84,144,2,0,14693,14693,0,Complete,,FALSE
2025-12-01,2025-12,INDI,Indigo Point,youth_print,9465,102,109,0,0,9458,9458,0,Complete,,FALSE
2025-12-01,2025-12,INDI,Indigo Point,audio_video,3904,8,20,15,0,3907,3907,0,Complete,,FALSE
2025-12-01,2025-12,INDI,Indigo Point,community_kits,86,0,2,0,0,84,84,0,Complete,,FALSE
2026-01-01,2026-01,ASTR,Aster Hollow,adult_print,11777,305,95,2,0,11989,11989,0,Complete,,FALSE
2026-01-01,2026-01,ASTR,Aster Hollow,youth_print,7234,45,36,0,15,7228,7228,0,Complete,,FALSE
2026-01-01,2026-01,ASTR,Aster Hollow,audio_video,3175,43,34,0,0,3184,3184,0,Complete,,FALSE
2026-01-01,2026-01,ASTR,Aster Hollow,community_kits,400,3,3,0,8,392,392,0,Complete,,FALSE
2026-01-01,2026-01,BRYK,Bryn Creek,adult_print,17304,28,28,0,0,17304,17304,0,Complete,,FALSE
2026-01-01,2026-01,BRYK,Bryn Creek,youth_print,10468,70,36,15,0,10517,10517,0,Complete,,FALSE
2026-01-01,2026-01,BRYK,Bryn Creek,audio_video,4069,40,35,0,0,4074,4074,0,Complete,,FALSE
2026-01-01,2026-01,BRYK,Bryn Creek,community_kits,657,4,7,0,0,654,654,0,Complete,,FALSE
2026-01-01,2026-01,CIRR,Cirrus Landing,adult_print,12889,78,24,14,0,12957,12957,0,Complete,,FALSE
2026-01-01,2026-01,CIRR,Cirrus Landing,youth_print,9567,114,38,4,0,9647,9647,0,Complete,,FALSE
2026-01-01,2026-01,CIRR,Cirrus Landing,audio_video,3764,46,20,0,0,3790,3790,0,Complete,,FALSE
2026-01-01,2026-01,CIRR,Cirrus Landing,community_kits,518,3,3,8,0,526,526,0,Complete,,FALSE
2026-01-01,2026-01,DRFT,Driftwood Vale,adult_print,19540,218,95,0,0,19663,19663,0,Complete,,FALSE
2026-01-01,2026-01,DRFT,Driftwood Vale,youth_print,13493,81,85,0,0,13489,13489,0,Complete,,FALSE
2026-01-01,2026-01,DRFT,Driftwood Vale,audio_video,4830,34,59,0,0,4805,4805,0,Complete,,FALSE
2026-01-01,2026-01,DRFT,Driftwood Vale,community_kits,747,2,8,0,8,733,733,0,Complete,,FALSE
2026-01-01,2026-01,ECHO,Echo Meadow,adult_print,11528,87,42,0,0,11573,11573,0,Complete,,FALSE
2026-01-01,2026-01,ECHO,Echo Meadow,youth_print,7291,45,19,0,0,7317,7317,0,Complete,,FALSE
2026-01-01,2026-01,ECHO,Echo Meadow,audio_video,3053,34,38,12,0,3061,3061,0,Complete,,FALSE
2026-01-01,2026-01,ECHO,Echo Meadow,community_kits,430,0,3,0,0,427,427,0,Complete,,FALSE
2026-01-01,2026-01,FERN,Fernhaven,adult_print,16619,152,190,0,0,16581,16581,0,Complete,,FALSE
2026-01-01,2026-01,FERN,Fernhaven,youth_print,10312,13,102,0,0,10223,10223,0,Complete,,FALSE
2026-01-01,2026-01,FERN,Fernhaven,audio_video,4376,2,49,0,0,4329,4329,0,Complete,,FALSE
2026-01-01,2026-01,FERN,Fernhaven,community_kits,515,7,7,8,0,523,523,0,Complete,,FALSE
2026-01-01,2026-01,GOLD,Goldleaf Quay,adult_print,17462,141,13,0,14,17576,17576,0,Complete,,FALSE
2026-01-01,2026-01,GOLD,Goldleaf Quay,youth_print,12007,143,79,0,4,12067,12067,0,Complete,,FALSE
2026-01-01,2026-01,GOLD,Goldleaf Quay,audio_video,5068,34,41,0,12,5049,5049,0,Complete,,FALSE
2026-01-01,2026-01,GOLD,Goldleaf Quay,community_kits,676,7,7,0,0,676,676,0,Complete,,FALSE
2026-01-01,2026-01,HUSH,Hush River,adult_print,13448,125,129,0,2,13442,13442,0,Complete,,FALSE
2026-01-01,2026-01,HUSH,Hush River,youth_print,8210,100,97,0,0,8213,8213,0,Complete,,FALSE
2026-01-01,2026-01,HUSH,Hush River,audio_video,3167,26,37,0,4,3152,3152,0,Complete,,FALSE
2026-01-01,2026-01,HUSH,Hush River,community_kits,481,0,0,0,0,481,481,0,Complete,,FALSE
2026-01-01,2026-01,INDI,Indigo Point,adult_print,14693,29,73,0,0,14649,14649,0,Complete,,FALSE
2026-01-01,2026-01,INDI,Indigo Point,youth_print,9458,56,8,0,0,9506,9506,0,Complete,,FALSE
2026-01-01,2026-01,INDI,Indigo Point,audio_video,3907,3,50,4,0,3864,3864,0,Complete,,FALSE
2026-01-01,2026-01,INDI,Indigo Point,community_kits,84,2,2,0,0,84,84,0,Complete,,FALSE
2026-02-01,2026-02,ASTR,Aster Hollow,adult_print,11989,31,127,0,0,11893,11893,0,Complete,,FALSE
2026-02-01,2026-02,ASTR,Aster Hollow,youth_print,7228,6,83,0,7,7144,7144,0,Complete,,FALSE
2026-02-01,2026-02,ASTR,Aster Hollow,audio_video,3184,13,19,0,0,3178,3178,0,Complete,,FALSE
2026-02-01,2026-02,ASTR,Aster Hollow,community_kits,392,2,4,11,0,401,401,0,Complete,,FALSE
2026-02-01,2026-02,BRYK,Bryn Creek,adult_print,17304,47,33,0,16,17302,17302,0,Complete,,FALSE
2026-02-01,2026-02,BRYK,Bryn Creek,youth_print,10517,118,32,0,12,10591,10591,0,Complete,,FALSE
2026-02-01,2026-02,BRYK,Bryn Creek,audio_video,4074,43,5,0,8,4104,4104,0,Complete,,FALSE
2026-02-01,2026-02,BRYK,Bryn Creek,community_kits,654,8,6,0,11,645,645,0,Complete,,FALSE
2026-02-01,2026-02,CIRR,Cirrus Landing,adult_print,12957,54,100,0,0,12911,12911,0,Complete,,FALSE
2026-02-01,2026-02,CIRR,Cirrus Landing,youth_print,9647,81,14,0,0,9714,9714,0,Complete,,FALSE
2026-02-01,2026-02,CIRR,Cirrus Landing,audio_video,3790,37,,0,0,3810,,,Change incomplete,withdrawal_log_unavailable,FALSE
2026-02-01,2026-02,CIRR,Cirrus Landing,community_kits,526,3,5,0,0,524,524,0,Complete,,FALSE
2026-02-01,2026-02,DRFT,Driftwood Vale,adult_print,19663,54,179,0,0,19538,19538,0,Complete,,FALSE
2026-02-01,2026-02,DRFT,Driftwood Vale,youth_print,13489,178,13,12,0,13666,13666,0,Complete,,FALSE
2026-02-01,2026-02,DRFT,Driftwood Vale,audio_video,4805,64,37,0,0,4832,4832,0,Complete,,FALSE
2026-02-01,2026-02,DRFT,Driftwood Vale,community_kits,733,3,9,0,0,727,727,0,Complete,,FALSE
2026-02-01,2026-02,ECHO,Echo Meadow,adult_print,11573,75,45,0,0,11603,11603,0,Complete,,FALSE
2026-02-01,2026-02,ECHO,Echo Meadow,youth_print,7317,28,69,7,0,7283,7283,0,Complete,,FALSE
2026-02-01,2026-02,ECHO,Echo Meadow,audio_video,3061,3,34,0,0,3030,3030,0,Complete,,FALSE
2026-02-01,2026-02,ECHO,Echo Meadow,community_kits,427,6,4,0,0,429,429,0,Complete,,FALSE
2026-02-01,2026-02,FERN,Fernhaven,adult_print,16581,96,76,32,0,16633,16633,0,Complete,,FALSE
2026-02-01,2026-02,FERN,Fernhaven,youth_print,10223,104,53,0,0,10274,10274,0,Complete,,FALSE
2026-02-01,2026-02,FERN,Fernhaven,audio_video,4329,33,0,0,15,4347,4347,0,Complete,,FALSE
2026-02-01,2026-02,FERN,Fernhaven,community_kits,523,1,4,10,0,530,530,0,Complete,,FALSE
2026-02-01,2026-02,GOLD,Goldleaf Quay,adult_print,17576,125,65,0,16,17620,17620,0,Complete,,FALSE
2026-02-01,2026-02,GOLD,Goldleaf Quay,youth_print,12067,28,105,0,0,11990,11990,0,Complete,,FALSE
2026-02-01,2026-02,GOLD,Goldleaf Quay,audio_video,5049,21,63,8,0,5015,5015,0,Complete,,FALSE
2026-02-01,2026-02,GOLD,Goldleaf Quay,community_kits,676,9,0,0,10,675,675,0,Complete,,FALSE
2026-02-01,2026-02,HUSH,Hush River,adult_print,13442,20,30,0,0,13432,13432,0,Complete,,FALSE
2026-02-01,2026-02,HUSH,Hush River,youth_print,8213,53,22,0,0,8244,8244,0,Complete,,FALSE
2026-02-01,2026-02,HUSH,Hush River,audio_video,3152,32,41,15,0,3158,3158,0,Complete,,FALSE
2026-02-01,2026-02,HUSH,Hush River,community_kits,481,4,0,0,0,485,485,0,Complete,,FALSE
2026-02-01,2026-02,INDI,Indigo Point,adult_print,14649,4,190,0,0,14463,14463,0,Complete,,FALSE
2026-02-01,2026-02,INDI,Indigo Point,youth_print,9506,29,84,0,0,9451,9451,0,Complete,,FALSE
2026-02-01,2026-02,INDI,Indigo Point,audio_video,3864,35,18,0,0,3881,3881,0,Complete,,FALSE
2026-02-01,2026-02,INDI,Indigo Point,community_kits,84,0,3,0,0,81,81,0,Complete,,FALSE
2026-03-01,2026-03,ASTR,Aster Hollow,adult_print,11893,8,116,0,0,11785,11785,0,Complete,,FALSE
2026-03-01,2026-03,ASTR,Aster Hollow,youth_print,7144,22,62,8,0,7112,7112,0,Complete,,FALSE
2026-03-01,2026-03,ASTR,Aster Hollow,audio_video,3178,44,41,0,12,3169,3169,0,Complete,,FALSE
2026-03-01,2026-03,ASTR,Aster Hollow,community_kits,401,6,5,16,3,415,415,0,Complete,,FALSE
2026-03-01,2026-03,BRYK,Bryn Creek,adult_print,17302,44,64,12,0,17294,17294,0,Complete,,FALSE
2026-03-01,2026-03,BRYK,Bryn Creek,youth_print,10591,12,103,0,7,10493,10493,0,Complete,,FALSE
2026-03-01,2026-03,BRYK,Bryn Creek,audio_video,4104,28,50,0,3,4079,4079,0,Complete,,FALSE
2026-03-01,2026-03,BRYK,Bryn Creek,community_kits,645,9,1,0,0,653,653,0,Complete,,FALSE
2026-03-01,2026-03,CIRR,Cirrus Landing,adult_print,12911,178,95,0,12,12982,12982,0,Complete,,FALSE
2026-03-01,2026-03,CIRR,Cirrus Landing,youth_print,9714,0,78,0,0,9636,9636,0,Complete,,FALSE
2026-03-01,2026-03,CIRR,Cirrus Landing,audio_video,3810,42,43,0,0,3809,3809,0,Complete,,FALSE
2026-03-01,2026-03,CIRR,Cirrus Landing,community_kits,524,1,7,0,0,518,518,0,Complete,,FALSE
2026-03-01,2026-03,DRFT,Driftwood Vale,adult_print,19538,80,15,15,0,19618,19618,0,Complete,,FALSE
2026-03-01,2026-03,DRFT,Driftwood Vale,youth_print,13666,4,163,0,0,13507,13507,0,Complete,,FALSE
2026-03-01,2026-03,DRFT,Driftwood Vale,audio_video,4832,19,39,3,0,4815,4815,0,Complete,,FALSE
2026-03-01,2026-03,DRFT,Driftwood Vale,community_kits,727,8,4,3,0,734,734,0,Complete,,FALSE
2026-03-01,2026-03,ECHO,Echo Meadow,adult_print,11603,107,70,0,0,11640,11640,0,Complete,,FALSE
2026-03-01,2026-03,ECHO,Echo Meadow,youth_print,7283,16,76,0,0,7223,7223,0,Complete,,FALSE
2026-03-01,2026-03,ECHO,Echo Meadow,audio_video,3030,4,33,0,0,3001,3001,0,Complete,,FALSE
2026-03-01,2026-03,ECHO,Echo Meadow,community_kits,429,5,0,0,0,434,434,0,Complete,,FALSE
2026-03-01,2026-03,FERN,Fernhaven,adult_print,16633,207,113,0,0,16727,16727,0,Complete,,FALSE
2026-03-01,2026-03,FERN,Fernhaven,youth_print,10274,23,107,7,0,10197,10197,0,Complete,,FALSE
2026-03-01,2026-03,FERN,Fernhaven,audio_video,4347,24,0,0,0,4371,4371,0,Complete,,FALSE
2026-03-01,2026-03,FERN,Fernhaven,community_kits,530,4,6,0,0,528,528,0,Complete,,FALSE
2026-03-01,2026-03,GOLD,Goldleaf Quay,adult_print,17620,120,6,0,15,17719,17719,0,Complete,,FALSE
2026-03-01,2026-03,GOLD,Goldleaf Quay,youth_print,11990,0,44,0,0,11946,11946,0,Complete,,FALSE
2026-03-01,2026-03,GOLD,Goldleaf Quay,audio_video,5015,7,30,12,0,5004,5004,0,Complete,,FALSE
2026-03-01,2026-03,GOLD,Goldleaf Quay,community_kits,675,5,7,0,0,673,673,0,Complete,,FALSE
2026-03-01,2026-03,HUSH,Hush River,adult_print,13432,137,107,0,0,13462,13462,0,Complete,,FALSE
2026-03-01,2026-03,HUSH,Hush River,youth_print,8244,60,18,0,8,8278,8278,0,Complete,,FALSE
2026-03-01,2026-03,HUSH,Hush River,audio_video,3158,43,35,0,0,3166,3166,0,Complete,,FALSE
2026-03-01,2026-03,HUSH,Hush River,community_kits,485,2,3,0,0,484,484,0,Complete,,FALSE
2026-03-01,2026-03,INDI,Indigo Point,adult_print,14463,112,31,0,0,14544,14544,0,Complete,,FALSE
2026-03-01,2026-03,INDI,Indigo Point,youth_print,9451,65,43,0,0,9473,9473,0,Complete,,FALSE
2026-03-01,2026-03,INDI,Indigo Point,audio_video,3881,48,16,0,0,3913,3913,0,Complete,,FALSE
2026-03-01,2026-03,INDI,Indigo Point,community_kits,81,0,0,0,16,65,65,0,Complete,,FALSE
2026-04-01,2026-04,ASTR,Aster Hollow,adult_print,11785,163,22,0,0,11926,11926,0,Complete,,FALSE
2026-04-01,2026-04,ASTR,Aster Hollow,youth_print,7112,72,7,0,0,7177,7177,0,Complete,,FALSE
2026-04-01,2026-04,ASTR,Aster Hollow,audio_video,3169,32,10,0,8,3183,3183,0,Complete,,FALSE
2026-04-01,2026-04,ASTR,Aster Hollow,community_kits,415,6,2,0,0,419,419,0,Complete,,FALSE
2026-04-01,2026-04,BRYK,Bryn Creek,adult_print,17294,95,222,0,0,17167,17167,0,Complete,,FALSE
2026-04-01,2026-04,BRYK,Bryn Creek,youth_print,10493,29,80,0,0,10442,10442,0,Complete,,FALSE
2026-04-01,2026-04,BRYK,Bryn Creek,audio_video,4079,44,10,0,0,4113,4113,0,Complete,,FALSE
2026-04-01,2026-04,BRYK,Bryn Creek,community_kits,653,3,5,0,6,645,645,0,Complete,,FALSE
2026-04-01,2026-04,CIRR,Cirrus Landing,adult_print,12982,47,64,0,0,12965,12965,0,Complete,,FALSE
2026-04-01,2026-04,CIRR,Cirrus Landing,youth_print,9636,66,118,0,0,9584,9584,0,Complete,,FALSE
2026-04-01,2026-04,CIRR,Cirrus Landing,audio_video,3809,51,41,8,0,3827,3827,0,Complete,,FALSE
2026-04-01,2026-04,CIRR,Cirrus Landing,community_kits,518,0,6,0,0,512,512,0,Complete,,FALSE
2026-04-01,2026-04,DRFT,Driftwood Vale,adult_print,19618,233,170,8,0,19689,19689,0,Complete,,FALSE
2026-04-01,2026-04,DRFT,Driftwood Vale,youth_print,13507,29,96,0,0,13440,13440,0,Complete,,FALSE
2026-04-01,2026-04,DRFT,Driftwood Vale,audio_video,4815,7,39,0,0,4783,4783,0,Complete,,FALSE
2026-04-01,2026-04,DRFT,Driftwood Vale,community_kits,734,9,1,0,16,726,726,0,Complete,,FALSE
2026-04-01,2026-04,ECHO,Echo Meadow,adult_print,,,,,,,,,Missing closing,report_not_received,FALSE
2026-04-01,2026-04,ECHO,Echo Meadow,youth_print,,,,,,,,,Missing closing,report_not_received,FALSE
2026-04-01,2026-04,ECHO,Echo Meadow,audio_video,,,,,,,,,Missing closing,report_not_received,FALSE
2026-04-01,2026-04,ECHO,Echo Meadow,community_kits,,,,,,,,,Missing closing,report_not_received,FALSE
2026-04-01,2026-04,FERN,Fernhaven,adult_print,16727,150,202,0,0,16675,16675,0,Complete,,FALSE
2026-04-01,2026-04,FERN,Fernhaven,youth_print,10197,14,3,18,0,10226,10226,0,Complete,,FALSE
